"iso","timeInterval","scenario","biovar","weightedMean"
"IDN","2050","rcp45","biovar14",156.2
"IDN","2050","rcp45","biovar15",65.4
"IDN","2050","rcp45","biovar16",1544.8
"IDN","2050","rcp45","biovar17",550.1
"IDN","2050","rcp45","biovar18",1022
"IDN","2050","rcp45","biovar19",1024
"IDN","2050","rcp85","biovar01",26.8
"IDN","2050","rcp85","biovar02",6.9
"IDN","2050","rcp85","biovar03",81.7
"IDN","2050","rcp85","biovar04",39.3
"IDN","2050","rcp85","biovar05",31.1
"IDN","2050","rcp85","biovar06",22.8
"IDN","2050","rcp85","biovar07",8.3
"IDN","2050","rcp85","biovar08",26.9
"IDN","2050","rcp85","biovar09",26.7
"IDN","2050","rcp85","biovar10",27.3
"IDN","2050","rcp85","biovar11",26.3
"IDN","2050","rcp85","biovar12",4007.4
"IDN","2050","rcp85","biovar13",954.2
"IDN","2050","rcp85","biovar14",155.2
"IDN","2050","rcp85","biovar15",65.9
"IDN","2050","rcp85","biovar16",1544.4
"IDN","2050","rcp85","biovar17",552.2
"IDN","2050","rcp85","biovar18",1018.8
"IDN","2050","rcp85","biovar19",1054.8
"IDN","2060","rcp45","biovar01",26.6
"IDN","2060","rcp45","biovar02",6.9
"IDN","2060","rcp45","biovar03",81.5
"IDN","2060","rcp45","biovar04",39.7
"IDN","2060","rcp45","biovar05",30.9
"IDN","2060","rcp45","biovar06",22.6
"IDN","2060","rcp45","biovar07",8.3
"IDN","2060","rcp45","biovar08",26.8
"IDN","2060","rcp45","biovar09",26.5
"IDN","2060","rcp45","biovar10",27.1
"IDN","2060","rcp45","biovar11",26.1
"IDN","2060","rcp45","biovar12",3929.3
"IDN","2060","rcp45","biovar13",913.8
"IDN","2060","rcp45","biovar14",155.4
"IDN","2060","rcp45","biovar15",63.6
"IDN","2060","rcp45","biovar16",1503.1
"IDN","2060","rcp45","biovar17",546.4
"IDN","2060","rcp45","biovar18",993.2
"IDN","2060","rcp45","biovar19",1004.3
"IDN","2060","rcp85","biovar01",27.2
"IDN","2060","rcp85","biovar02",6.9
"IDN","2060","rcp85","biovar03",81.6
"IDN","2060","rcp85","biovar04",39.5
"IDN","2060","rcp85","biovar05",31.5
"IDN","2060","rcp85","biovar06",23.2
"IDN","2060","rcp85","biovar07",8.3
"IDN","2060","rcp85","biovar08",27.3
"IDN","2060","rcp85","biovar09",27.1
"IDN","2060","rcp85","biovar10",27.7
"IDN","2060","rcp85","biovar11",26.7
"IDN","2060","rcp85","biovar12",4064.2
"IDN","2060","rcp85","biovar13",983.1
"IDN","2060","rcp85","biovar14",155.5
"IDN","2060","rcp85","biovar15",66.8
"IDN","2060","rcp85","biovar16",1574.1
"IDN","2060","rcp85","biovar17",555.1
"IDN","2060","rcp85","biovar18",1013.2
"IDN","2060","rcp85","biovar19",1061
"IDN","2070","rcp45","biovar01",26.8
"IDN","2070","rcp45","biovar02",6.9
"IDN","2070","rcp45","biovar03",81.2
"IDN","2070","rcp45","biovar04",40.3
"IDN","2070","rcp45","biovar05",31
"IDN","2070","rcp45","biovar06",22.7
"IDN","2070","rcp45","biovar07",8.4
"IDN","2070","rcp45","biovar08",26.9
"IDN","2070","rcp45","biovar09",26.6
"IDN","2070","rcp45","biovar10",27.2
"IDN","2070","rcp45","biovar11",26.2
"IDN","2070","rcp45","biovar12",3938.1
"IDN","2070","rcp45","biovar13",919.6
"IDN","2070","rcp45","biovar14",150
"IDN","2070","rcp45","biovar15",64.2
"IDN","2070","rcp45","biovar16",1501
"IDN","2070","rcp45","biovar17",539.9
"IDN","2070","rcp45","biovar18",995
"IDN","2070","rcp45","biovar19",1014.1
"IDN","2070","rcp85","biovar01",27.6
"IDN","2070","rcp85","biovar02",6.9
"IDN","2070","rcp85","biovar03",81.4
"IDN","2070","rcp85","biovar04",40.3
"IDN","2070","rcp85","biovar05",31.9
"IDN","2070","rcp85","biovar06",23.6
"IDN","2070","rcp85","biovar07",8.3
"IDN","2070","rcp85","biovar08",27.7
"IDN","2070","rcp85","biovar09",27.4
"IDN","2070","rcp85","biovar10",28.1
"IDN","2070","rcp85","biovar11",27.1
"IDN","2070","rcp85","biovar12",4001.9
"IDN","2070","rcp85","biovar13",939.7
"IDN","2070","rcp85","biovar14",151.8
"IDN","2070","rcp85","biovar15",64.8
"IDN","2070","rcp85","biovar16",1533.1
"IDN","2070","rcp85","biovar17",542.1
"IDN","2070","rcp85","biovar18",994.6
"IDN","2070","rcp85","biovar19",1026.1
"IDN","2080","rcp45","biovar01",26.8
"IDN","2080","rcp45","biovar02",6.9
"IDN","2080","rcp45","biovar03",81.5
"IDN","2080","rcp45","biovar04",39.9
"IDN","2080","rcp45","biovar05",31.1
"IDN","2080","rcp45","biovar06",22.8
"IDN","2080","rcp45","biovar07",8.3
"IDN","2080","rcp45","biovar08",27
"IDN","2080","rcp45","biovar09",26.7
"IDN","2080","rcp45","biovar10",27.3
"IDN","2080","rcp45","biovar11",26.3
"IDN","2080","rcp45","biovar12",3973.2
"IDN","2080","rcp45","biovar13",942.7
"IDN","2080","rcp45","biovar14",150.8
"IDN","2080","rcp45","biovar15",65.6
"IDN","2080","rcp45","biovar16",1526.3
"IDN","2080","rcp45","biovar17",543.4
"IDN","2080","rcp45","biovar18",1006
"IDN","2080","rcp45","biovar19",1030.5
"IDN","2080","rcp85","biovar01",28
"IDN","2080","rcp85","biovar02",6.9
"IDN","2080","rcp85","biovar03",81.1
"IDN","2080","rcp85","biovar04",41.1
"IDN","2080","rcp85","biovar05",32.3
"IDN","2080","rcp85","biovar06",23.9
"IDN","2080","rcp85","biovar07",8.4
"IDN","2080","rcp85","biovar08",28.1
"IDN","2080","rcp85","biovar09",27.8
"IDN","2080","rcp85","biovar10",28.5
"IDN","2080","rcp85","biovar11",27.5
"IDN","2080","rcp85","biovar12",4045.5
"IDN","2080","rcp85","biovar13",954.2
"IDN","2080","rcp85","biovar14",153.6
"IDN","2080","rcp85","biovar15",65.2
"IDN","2080","rcp85","biovar16",1556.6
"IDN","2080","rcp85","biovar17",549.4
"IDN","2080","rcp85","biovar18",1010.4
"IDN","2080","rcp85","biovar19",1029.3
"IDN","2090","rcp45","biovar01",26.9
"IDN","2090","rcp45","biovar02",6.9
"IDN","2090","rcp45","biovar03",81.6
"IDN","2090","rcp45","biovar04",39.6
"IDN","2090","rcp45","biovar05",31.2
"IDN","2090","rcp45","biovar06",22.8
"IDN","2090","rcp45","biovar07",8.3
"IDN","2090","rcp45","biovar08",27
"IDN","2090","rcp45","biovar09",26.7
"IDN","2090","rcp45","biovar10",27.3
"IDN","2090","rcp45","biovar11",26.4
"IDN","2090","rcp45","biovar12",4025
"IDN","2090","rcp45","biovar13",953.4
