iso;timeInterval;scenario;biovar;weightedMean
TZA;2030;rcp85;biovar15;85.5
TZA;2030;rcp85;biovar16;574.6
TZA;2030;rcp85;biovar17;32.5
TZA;2030;rcp85;biovar18;288.8
TZA;2030;rcp85;biovar19;154.4
TZA;2040;rcp45;biovar01;23.9
TZA;2040;rcp45;biovar02;9.3
TZA;2040;rcp45;biovar03;64.7
TZA;2040;rcp45;biovar04;133.7
TZA;2040;rcp45;biovar05;31.2
TZA;2040;rcp45;biovar06;16.7
TZA;2040;rcp45;biovar07;14.5
TZA;2040;rcp45;biovar08;24.3
TZA;2040;rcp45;biovar09;22.7
TZA;2040;rcp45;biovar10;25.6
TZA;2040;rcp45;biovar11;22.2
TZA;2040;rcp45;biovar12;1216.5
TZA;2040;rcp45;biovar13;248.6
TZA;2040;rcp45;biovar14;8.5
TZA;2040;rcp45;biovar15;86.7
TZA;2040;rcp45;biovar16;634.7
TZA;2040;rcp45;biovar17;36.7
TZA;2040;rcp45;biovar18;320.6
TZA;2040;rcp45;biovar19;163.4
TZA;2040;rcp85;biovar01;24.3
TZA;2040;rcp85;biovar02;9.3
TZA;2040;rcp85;biovar03;64.8
TZA;2040;rcp85;biovar04;132.5
TZA;2040;rcp85;biovar05;31.5
TZA;2040;rcp85;biovar06;17
TZA;2040;rcp85;biovar07;14.5
TZA;2040;rcp85;biovar08;24.7
TZA;2040;rcp85;biovar09;23
TZA;2040;rcp85;biovar10;25.9
TZA;2040;rcp85;biovar11;22.6
TZA;2040;rcp85;biovar12;1138.6
TZA;2040;rcp85;biovar13;228.9
TZA;2040;rcp85;biovar14;7.5
TZA;2040;rcp85;biovar15;85.7
TZA;2040;rcp85;biovar16;592.2
TZA;2040;rcp85;biovar17;32.6
TZA;2040;rcp85;biovar18;297.9
TZA;2040;rcp85;biovar19;156.9
TZA;2050;rcp45;biovar01;24.2
TZA;2050;rcp45;biovar02;9.4
TZA;2050;rcp45;biovar03;64.8
TZA;2050;rcp45;biovar04;133.3
TZA;2050;rcp45;biovar05;31.4
TZA;2050;rcp45;biovar06;16.9
TZA;2050;rcp45;biovar07;14.5
TZA;2050;rcp45;biovar08;24.6
TZA;2050;rcp45;biovar09;22.9
TZA;2050;rcp45;biovar10;25.8
TZA;2050;rcp45;biovar11;22.5
TZA;2050;rcp45;biovar12;1250
TZA;2050;rcp45;biovar13;250.4
TZA;2050;rcp45;biovar14;8.4
TZA;2050;rcp45;biovar15;85.5
TZA;2050;rcp45;biovar16;647.1
TZA;2050;rcp45;biovar17;36.7
TZA;2050;rcp45;biovar18;333.1
TZA;2050;rcp45;biovar19;168.2
TZA;2050;rcp85;biovar01;24.8
TZA;2050;rcp85;biovar02;9.3
TZA;2050;rcp85;biovar03;64.7
TZA;2050;rcp85;biovar04;133.2
TZA;2050;rcp85;biovar05;32
TZA;2050;rcp85;biovar06;17.5
TZA;2050;rcp85;biovar07;14.4
TZA;2050;rcp85;biovar08;25.1
TZA;2050;rcp85;biovar09;23.5
TZA;2050;rcp85;biovar10;26.4
TZA;2050;rcp85;biovar11;23.1
TZA;2050;rcp85;biovar12;1184.7
TZA;2050;rcp85;biovar13;240.2
TZA;2050;rcp85;biovar14;7.8
TZA;2050;rcp85;biovar15;86.3
TZA;2050;rcp85;biovar16;617.1
TZA;2050;rcp85;biovar17;34.4
TZA;2050;rcp85;biovar18;311.5
TZA;2050;rcp85;biovar19;153.6
TZA;2060;rcp45;biovar01;24.5
TZA;2060;rcp45;biovar02;9.4
TZA;2060;rcp45;biovar03;64.8
TZA;2060;rcp45;biovar04;132.5
TZA;2060;rcp45;biovar05;31.7
TZA;2060;rcp45;biovar06;17.2
TZA;2060;rcp45;biovar07;14.6
TZA;2060;rcp45;biovar08;24.9
TZA;2060;rcp45;biovar09;23.2
TZA;2060;rcp45;biovar10;26.1
TZA;2060;rcp45;biovar11;22.8
TZA;2060;rcp45;biovar12;1235
TZA;2060;rcp45;biovar13;249.7
TZA;2060;rcp45;biovar14;7.7
TZA;2060;rcp45;biovar15;86.1
TZA;2060;rcp45;biovar16;642.7
TZA;2060;rcp45;biovar17;35.2
TZA;2060;rcp45;biovar18;324.3
TZA;2060;rcp45;biovar19;170.7
TZA;2060;rcp85;biovar01;25.2
TZA;2060;rcp85;biovar02;9.2
TZA;2060;rcp85;biovar03;64.1
TZA;2060;rcp85;biovar04;133.7
TZA;2060;rcp85;biovar05;32.4
TZA;2060;rcp85;biovar06;18
TZA;2060;rcp85;biovar07;14.5
TZA;2060;rcp85;biovar08;25.6
TZA;2060;rcp85;biovar09;24
TZA;2060;rcp85;biovar10;26.9
TZA;2060;rcp85;biovar11;23.5
TZA;2060;rcp85;biovar12;1242.5
TZA;2060;rcp85;biovar13;257.8
TZA;2060;rcp85;biovar14;8.2
TZA;2060;rcp85;biovar15;87.1
TZA;2060;rcp85;biovar16;648.9
TZA;2060;rcp85;biovar17;36.1
TZA;2060;rcp85;biovar18;333.4
TZA;2060;rcp85;biovar19;160.3
TZA;2070;rcp45;biovar01;24.6
TZA;2070;rcp45;biovar02;9.3
TZA;2070;rcp45;biovar03;64.4
TZA;2070;rcp45;biovar04;133.4
TZA;2070;rcp45;biovar05;31.9
TZA;2070;rcp45;biovar06;17.3
TZA;2070;rcp45;biovar07;14.5
TZA;2070;rcp45;biovar08;25
TZA;2070;rcp45;biovar09;23.4
TZA;2070;rcp45;biovar10;26.3
TZA;2070;rcp45;biovar11;22.9
TZA;2070;rcp45;biovar12;1244
TZA;2070;rcp45;biovar13;255.1
TZA;2070;rcp45;biovar14;7.9
TZA;2070;rcp45;biovar15;87
TZA;2070;rcp45;biovar16;649.4
TZA;2070;rcp45;biovar17;36.4
TZA;2070;rcp45;biovar18;327.9
TZA;2070;rcp45;biovar19;169.2
TZA;2070;rcp85;biovar01;25.8
TZA;2070;rcp85;biovar02;9.2
TZA;2070;rcp85;biovar03;64
TZA;2070;rcp85;biovar04;133.4
TZA;2070;rcp85;biovar05;33
TZA;2070;rcp85;biovar06;18.6
TZA;2070;rcp85;biovar07;14.4
TZA;2070;rcp85;biovar08;26.2
TZA;2070;rcp85;biovar09;24.5
TZA;2070;rcp85;biovar10;27.4
TZA;2070;rcp85;biovar11;24.1
TZA;2070;rcp85;biovar12;1240.9
TZA;2070;rcp85;biovar13;253
TZA;2070;rcp85;biovar14;8.2
TZA;2070;rcp85;biovar15;86.7
TZA;2070;rcp85;biovar16;648.9
TZA;2070;rcp85;biovar17;36.1
TZA;2070;rcp85;biovar18;339.3
TZA;2070;rcp85;biovar19;161.2
TZA;2080;rcp45;biovar01;24.7
TZA;2080;rcp45;biovar02;9.3
TZA;2080;rcp45;biovar03;64.5
TZA;2080;rcp45;biovar04;132.6
TZA;2080;rcp45;biovar05;31.9
TZA;2080;rcp45;biovar06;17.5
TZA;2080;rcp45;biovar07;14.4
TZA;2080;rcp45;biovar08;25.1
TZA;2080;rcp45;biovar09;23.5
TZA;2080;rcp45;biovar10;26.4
TZA;2080;rcp45;biovar11;23
TZA;2080;rcp45;biovar12;1262.5
TZA;2080;rcp45;biovar13;256.7
TZA;2080;rcp45;biovar14;8.2
TZA;2080;rcp45;biovar15;86.4
TZA;2080;rcp45;biovar16;656.6
TZA;2080;rcp45;biovar17;36.7
TZA;2080;rcp45;biovar18;336
TZA;2080;rcp45;biovar19;176.1
TZA;2080;rcp85;biovar01;26.3
TZA;2080;rcp85;biovar02;9.1
TZA;2080;rcp85;biovar03;63.4
TZA;2080;rcp85;biovar04;135.6
TZA;2080;rcp85;biovar05;33.4
TZA;2080;rcp85;biovar06;19.1
TZA;2080;rcp85;biovar07;14.3
TZA;2080;rcp85;biovar08;26.7
TZA;2080;rcp85;biovar09;25
TZA;2080;rcp85;biovar10;28
TZA;2080;rcp85;biovar11;24.6
TZA;2080;rcp85;biovar12;1294.4
TZA;2080;rcp85;biovar13;265.6
TZA;2080;rcp85;biovar14;8.5
TZA;2080;rcp85;biovar15;86.9
TZA;2080;rcp85;biovar16;680.6
TZA;2080;rcp85;biovar17;37.8
TZA;2080;rcp85;biovar18;349.9
TZA;2080;rcp85;biovar19;165.7
TZA;2090;rcp45;biovar01;24.8
TZA;2090;rcp45;biovar02;9.3
TZA;2090;rcp45;biovar03;64.2
TZA;2090;rcp45;biovar04;133.7
TZA;2090;rcp45;biovar05;32.1
TZA;2090;rcp45;biovar06;17.5
TZA;2090;rcp45;biovar07;14.5
TZA;2090;rcp45;biovar08;25.2
TZA;2090;rcp45;biovar09;23.6
TZA;2090;rcp45;biovar10;26.5
TZA;2090;rcp45;biovar11;23.1
TZA;2090;rcp45;biovar12;1255.3
TZA;2090;rcp45;biovar13;256
TZA;2090;rcp45;biovar14;8
TZA;2090;rcp45;biovar15;86.8
TZA;2090;rcp45;biovar16;656.7
TZA;2090;rcp45;biovar17;35.9
TZA;2090;rcp45;biovar18;330.7
TZA;2090;rcp45;biovar19;177
TZA;2090;rcp85;biovar01;26.8
TZA;2090;rcp85;biovar02;9.1
TZA;2090;rcp85;biovar03;63.3
TZA;2090;rcp85;biovar04;136
TZA;2090;rcp85;biovar05;33.9
TZA;2090;rcp85;biovar06;19.6
TZA;2090;rcp85;biovar07;14.4
TZA;2090;rcp85;biovar08;27.2
TZA;2090;rcp85;biovar09;25.5
TZA;2090;rcp85;biovar10;28.5
TZA;2090;rcp85;biovar11;25
TZA;2090;rcp85;biovar12;1406.7
TZA;2090;rcp85;biovar13;288.6
TZA;2090;rcp85;biovar14;9
TZA;2090;rcp85;biovar15;87.1
TZA;2090;rcp85;biovar16;737.1
TZA;2090;rcp85;biovar17;41.1
TZA;2090;rcp85;biovar18;384.1
TZA;2090;rcp85;biovar19;178.2
