"iso","timeInterval","scenario","biovar","weightedMean"
"PER","2050","rcp45","biovar03",73.9
"PER","2050","rcp45","biovar04",83.6
"PER","2050","rcp45","biovar05",25.5
"PER","2050","rcp45","biovar06",14.1
"PER","2050","rcp45","biovar07",11.4
"PER","2050","rcp45","biovar08",20.8
"PER","2050","rcp45","biovar09",19.3
"PER","2050","rcp45","biovar10",21.1
"PER","2050","rcp45","biovar11",19
"PER","2050","rcp45","biovar12",1850.6
"PER","2050","rcp45","biovar13",320.6
"PER","2050","rcp45","biovar14",60.9
"PER","2050","rcp45","biovar15",57.4
"PER","2050","rcp45","biovar16",750.5
"PER","2050","rcp45","biovar17",225
"PER","2050","rcp45","biovar18",620
"PER","2050","rcp45","biovar19",257.9
"PER","2050","rcp85","biovar01",20.6
"PER","2050","rcp85","biovar02",8.4
"PER","2050","rcp85","biovar03",73.7
"PER","2050","rcp85","biovar04",84.1
"PER","2050","rcp85","biovar05",25.9
"PER","2050","rcp85","biovar06",14.5
"PER","2050","rcp85","biovar07",11.5
"PER","2050","rcp85","biovar08",21.1
"PER","2050","rcp85","biovar09",19.6
"PER","2050","rcp85","biovar10",21.5
"PER","2050","rcp85","biovar11",19.4
"PER","2050","rcp85","biovar12",1603.4
"PER","2050","rcp85","biovar13",253.3
"PER","2050","rcp85","biovar14",48
"PER","2050","rcp85","biovar15",55
"PER","2050","rcp85","biovar16",634.2
"PER","2050","rcp85","biovar17",191.4
"PER","2050","rcp85","biovar18",494.4
"PER","2050","rcp85","biovar19",218.9
"PER","2060","rcp45","biovar01",20.4
"PER","2060","rcp45","biovar02",8.4
"PER","2060","rcp45","biovar03",73.8
"PER","2060","rcp45","biovar04",83.8
"PER","2060","rcp45","biovar05",25.7
"PER","2060","rcp45","biovar06",14.3
"PER","2060","rcp45","biovar07",11.5
"PER","2060","rcp45","biovar08",21
"PER","2060","rcp45","biovar09",19.5
"PER","2060","rcp45","biovar10",21.3
"PER","2060","rcp45","biovar11",19.2
"PER","2060","rcp45","biovar12",1695
"PER","2060","rcp45","biovar13",268.7
"PER","2060","rcp45","biovar14",56.9
"PER","2060","rcp45","biovar15",54.9
"PER","2060","rcp45","biovar16",670.1
"PER","2060","rcp45","biovar17",214.6
"PER","2060","rcp45","biovar18",534.9
"PER","2060","rcp45","biovar19",241.5
"PER","2060","rcp85","biovar01",20.9
"PER","2060","rcp85","biovar02",8.4
"PER","2060","rcp85","biovar03",73.8
"PER","2060","rcp85","biovar04",84.6
"PER","2060","rcp85","biovar05",26.3
"PER","2060","rcp85","biovar06",14.8
"PER","2060","rcp85","biovar07",11.4
"PER","2060","rcp85","biovar08",21.5
"PER","2060","rcp85","biovar09",20
"PER","2060","rcp85","biovar10",21.9
"PER","2060","rcp85","biovar11",19.7
"PER","2060","rcp85","biovar12",1412.7
"PER","2060","rcp85","biovar13",236.4
"PER","2060","rcp85","biovar14",36.8
"PER","2060","rcp85","biovar15",59.9
"PER","2060","rcp85","biovar16",588.3
"PER","2060","rcp85","biovar17",154.3
"PER","2060","rcp85","biovar18",443.2
"PER","2060","rcp85","biovar19",179.2
"PER","2070","rcp45","biovar01",20.5
"PER","2070","rcp45","biovar02",8.4
"PER","2070","rcp45","biovar03",73.9
"PER","2070","rcp45","biovar04",84
"PER","2070","rcp45","biovar05",25.9
"PER","2070","rcp45","biovar06",14.4
"PER","2070","rcp45","biovar07",11.4
"PER","2070","rcp45","biovar08",21.1
"PER","2070","rcp45","biovar09",19.6
"PER","2070","rcp45","biovar10",21.4
"PER","2070","rcp45","biovar11",19.3
"PER","2070","rcp45","biovar12",1726
"PER","2070","rcp45","biovar13",279.6
"PER","2070","rcp45","biovar14",54.7
"PER","2070","rcp45","biovar15",55.6
"PER","2070","rcp45","biovar16",675.3
"PER","2070","rcp45","biovar17",209.6
"PER","2070","rcp45","biovar18",557
"PER","2070","rcp45","biovar19",239.4
"PER","2070","rcp85","biovar01",21.3
"PER","2070","rcp85","biovar02",8.4
"PER","2070","rcp85","biovar03",73.4
"PER","2070","rcp85","biovar04",86
"PER","2070","rcp85","biovar05",26.7
"PER","2070","rcp85","biovar06",15.2
"PER","2070","rcp85","biovar07",11.5
"PER","2070","rcp85","biovar08",21.9
"PER","2070","rcp85","biovar09",20.3
"PER","2070","rcp85","biovar10",22.3
"PER","2070","rcp85","biovar11",20.1
"PER","2070","rcp85","biovar12",1343.9
"PER","2070","rcp85","biovar13",243.9
"PER","2070","rcp85","biovar14",33.5
"PER","2070","rcp85","biovar15",62.6
"PER","2070","rcp85","biovar16",576.3
"PER","2070","rcp85","biovar17",145.5
"PER","2070","rcp85","biovar18",440.2
"PER","2070","rcp85","biovar19",164.3
"PER","2080","rcp45","biovar01",20.6
"PER","2080","rcp45","biovar02",8.4
"PER","2080","rcp45","biovar03",73.5
"PER","2080","rcp45","biovar04",85.1
"PER","2080","rcp45","biovar05",25.9
"PER","2080","rcp45","biovar06",14.4
"PER","2080","rcp45","biovar07",11.5
"PER","2080","rcp45","biovar08",21.1
"PER","2080","rcp45","biovar09",19.6
"PER","2080","rcp45","biovar10",21.5
"PER","2080","rcp45","biovar11",19.3
"PER","2080","rcp45","biovar12",1694.5
"PER","2080","rcp45","biovar13",288.4
"PER","2080","rcp45","biovar14",49.4
"PER","2080","rcp45","biovar15",57.3
"PER","2080","rcp45","biovar16",677.3
"PER","2080","rcp45","biovar17",198.3
"PER","2080","rcp45","biovar18",560.7
"PER","2080","rcp45","biovar19",222.1
"PER","2080","rcp85","biovar01",21.6
"PER","2080","rcp85","biovar02",8.4
"PER","2080","rcp85","biovar03",73.2
"PER","2080","rcp85","biovar04",86.8
"PER","2080","rcp85","biovar05",27
"PER","2080","rcp85","biovar06",15.5
"PER","2080","rcp85","biovar07",11.6
"PER","2080","rcp85","biovar08",22.2
"PER","2080","rcp85","biovar09",20.6
"PER","2080","rcp85","biovar10",22.6
